"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Login","5","0","Login Validation","0"
"0","E-commerce","0","Checkout Process","3","0","Checkout Validation","0"
"0","E-commerce","0","Checkout Process","2","0","Checkout Navigation","0"
"0","E-commerce","0","Checkout Process","2","0","Complete Checkout","0"
"0","E-commerce","0","Shopping Cart","2","0","Cart Items","0"
"0","E-commerce","0","Checkout Process","1","0","Order Summary","0"
"0","E-commerce","0","Checkout Process","1","0","Checkout Edge Cases","0"
"0","E-commerce","0","Product Management","4","0","Shopping Cart","0"
"0","Authentication","0","Login","2","0","User Types","0"
"0","E-commerce","0","Product Management","2","0","Product Sorting","0"
"0","E-commerce","0","Shopping Cart","1","0","Cart Modification","0"
"0","E-commerce","0","Product Management","1","0","Product Display","0"
"0","Authentication","0","Login","1","0","Successful Login","0"
"0","Authentication","0","Login","1","0","Account Lockout","0"
"0","E-commerce","0","Shopping Cart","1","0","Cart Navigation","0"
"0","E-commerce","0","Shopping Cart","1","0","Cart Display","0"
"0","E-commerce","0","Shopping Cart","1","0","Cart Validation","0"
